nombre comercial,direccion,código postal,zona,teléfono,fax,email,web,contacto,sector,actividad1,actividad2,lat,lon
"ABALIS COMUNICACIÓN","CL ARAGONESES (DE LOS) 14",28108,"POLIGONO INDUSTRIAL",+34691552472,NO DISPONIBLE,"administracion@abaliscomunicacion.com","http://www.abaliscomunicacion.com","ALINA","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","ARTES GRAFICAS. ROTULACION",40.52153854,-3.66339095
"ABAX","CL SAN JOSE ARTESANO (DE) 1 -PORTAL 1 B PLANTA 1ª",28108,"POLIGONO INDUSTRIAL",+34916610781,NO DISPONIBLE,"beatriz@adt.es","http://www.abax.es","ALVARO BAJO","","INFORMATICA","SISTEMAS INFORMATICOS",40.52979004,-3.65666286
"ABI","CL ANABEL SEGURA (DE) 11 -PLANTA 0 OFICINA 2",28100,"ARROYO DE LA VEGA",+34917324980,NO DISPONIBLE,"marisolm@abiconsult.com","NO DISPONIBLE","MARISOL DE LA MUÑOZA","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA",40.53329719,-3.62708410
"ABRAKE","AV DOCTOR SEVERO OCHOA (DEL) 37 - F",28100,"PARQUE EMP. CASABLANCA",+34916611188,+34916612504,"info@abrake.com","http://www.abrake.com","IÑIGO VILLASECA ANTON","","CONSTRUCCION. CONSERVACION DE EDIFICIOS. REFORMAS (ALBAÑILERIA,  PINTURA, PULIDOS, SOLADOS, ALICATADOS)","REHABILITACION DE EDIFICIOS Y TRABAJOS VERTICALES",40.54136786,-3.65322389
"ACCIONA INFRAESTRUCTURAS","AV EUROPA (DE) 18",28108,"PARQUE EMP. MORALEJA",916632850 / 916632851,NO DISPONIBLE,"icalvoh@acciona.es","http://www.acciona.es","IGNACIO CALVO","","DISTRIBUCION DE GAS Y ELECTRICIDAD, ENERGIAS ALTERNATIVAS","ENERGIAS RENOVABLES",40.51656250,-3.65607816
"ACCIONA INFRAESTRUCTURAS","CL VALPORTILLO II (DE) 8",28108,"POLIGONO INDUSTRIAL",917912020 / 916632850,+34917912101,"icalvoh@acciona.es","http://www.acciona.es","IGNACIO CALVO I+D","","OBRAS PUBLICAS. SEÑALIZACION DE CARRETERAS Y FERROVIARIAS","INFRAESTRUCTURAS",40.53318462,-3.65565272
"ACCOR INVEST","CL FRANCISCO GERVAS (DE) 1",28108,"POLIGONO INDUSTRIAL",+34916624703,+34916615696,"h6301@accor.com","http://www.ibishotel.com","FRANCISCO TERRON","","HOSTALES, CASAS DE HUESPEDES Y  HOTELES","HOTEL",40.53042958,-3.65080103
"ACELERA IT","AV INDUSTRIA (DE LA) 32 - EDIFICIO PAYMA",28108,"POLIGONO INDUSTRIAL",629759088 / 917129919,NO DISPONIBLE,"ecamino@acelerait.es","http://www.acelerait.com","ESTER CAMINO","","INFORMATICA","PRODUCTOS Y SERVICIOS DE INFORMATICA Y PAPELERIA",40.53412153,-3.65245488
"ACENS TECHNOLOGIES","CL SAN RAFAEL (DE) 14",28108,"POLIGONO INDUSTRIAL",911418563 /911418500/ 900103293,NO DISPONIBLE,"carmen.rosa@acens.com","http://www.acens.com","CARMEN ROSA","","INFORMATICA","CLOUD DE PAGINAS WEB",40.52627256,-3.66084729
"ACF CONSULTORES","AV DOCTOR SEVERO OCHOA (DEL) 38 - MODULO 08",28100,"PARQUE EMP. CASABLANCA",+34916625095,+34916618035,"juan@acf-consultores.com","http://www.acf-consultores.com","JUAN PEINADO VALDERAS","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA",40.54091291,-3.65506360
"ACOMETIDAS EUROPA","AV DOCTOR SEVERO OCHOA (DEL) 35 -NAVE 5D",28100,"PARQUE EMP. CASABLANCA",913862104 / 913862112,NO DISPONIBLE,"acometidas.europa@gmail.com","http://www.acometidas-europa.com","JOSE ALFREDO MARCOS NAHARRO","","MEDIOAMBIENTE. RECUPERACION Y RECICLADO","SERVICIOS DE POCERIA Y SANEAMIENTO",40.54136786,-3.65322389
"ACTIVISION BLIZZARD SPAIN","CL ANABEL SEGURA (DE) 7 PLANTA 1º",28100,"ARROYO DE LA VEGA",+34916627945,NO DISPONIBLE,"fabiana.freitas@activision.com","http://www.activisionblizzard.com","FABIANA FREITAS","","INFORMATICA","COMERCIALIZACION DE VIDEOJUEGOS",40.53498955,-3.62644539
"AD CONSULTING SOFTWARE COMUNICACIONES CLIENTES","AV INDUSTRIA (DE LA) 13 PANTA 1, OFICINA 20",28108,"POLIGONO INDUSTRIAL",+34912416507,NO DISPONIBLE,"contacto@adconsulting.es","http://www.adconsulting.es","THIERRY MARTIN","","INFORMATICA","SOFTWARE",40.53516074,-3.64723116
"ADLER INSTRUMENTOS","CL SAN RAFAEL (DE) 1 P1-2º B",28108,"POLIGONO INDUSTRIAL",+34913584046,NO DISPONIBLE,"mjose@adler-instrumentos.es","http://www.adler-instrumentos.es","MARIA JOSE RECUERO","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","ASESORAMIENTO Y SUMINISTRO DE INSTRUMENTACION DE MEDIDA Y ENSAYO PARA INSTALACIONES Y LABORATORIOS",40.52428139,-3.65890105
"ADQUIERE PUBLICIDAD","CR FUENCARRAL (DE) 44 - EDIFICIO 4A LOFT 33",28108,"POLIGONO INDUSTRIAL",912772177 / 606970701,NO DISPONIBLE,"info@adquierepublicidad.com","http://www.adquierepublicidad.com","ROBERTO GUITIAN YUSTAS","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","PUBLICIDAD",40.51888227,-3.65470622
"ADRABA MARKETING","AV ZAPORRA (DE LA) 151",28100,"CASCO URBANO",912939920 / 922939920,NO DISPONIBLE,"direccion@adraba.com","http://www.adraba.com","PABLO ADAN","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","MARKETING DIGITAL",40.54856707,-3.63770848
"ADVANCED PRODUCTS ESPAÑA","AV INDUSTRIA (DE LA) 6 - EDIFICIO A 1ºB",28108,"POLIGONO INDUSTRIAL",916506800 / 691109646,+34916506961,"eu.maria.lorenzo@ap-grupo.com","http://www.ap-grupo.com","MARIA JOSE","","FRIO INDUSTRIAL","COMERCIALIZACION DE PRODUCTOS PARA LA CADENA DE FRIO EMBALAJES",40.53525212,-3.64306522
"AGENCIA DE GLS SPAIN","CL GUZMAN EL BUENO (DE) 8 -BAJO",28108,"POLIGONO INDUSTRIAL",916620018/ 902 190 462 /  91 185 66 10,+34916620018,"administracion@mundial-paqueteria.com/attcliente@mundial-paqueteria.com","http://www.mundial-paqueteria.com","JUAN CARLOS SEVILLA RODRIGUEZ","","SERVICIOS DE TRANSPORTES, ALQUILER DE VEHICULOS Y GRUAS,  MENSAJERIA. MUDANZAS","DISTRIBUCION URGENTE DE PAQUETERIA Y DOCUMENTACION",40.52867148,-3.65635623
"AGRIPALMA","CL VALPORTILLO I (DE) 6",28108,"POLIGONO INDUSTRIAL",+34916615727,+34916613008,"agripalma@agripalma.com","http://www.agripalma.com","MARIANO GARCIA DIAZ","","PRODUCCION Y DISTRIBUCION DE ALIMENTOS Y BEBIDAS","FABRICA DE PAN Y PANES ESPECIALES",40.53042897,-3.65380149
"AGRUPEM","AV VALDELAPARRA (DE) 4 - NAVE- 7-8",28108,"POLIGONO INDUSTRIAL",916614551 / 916618064,+34916615245,"administracion@ag-rupem.com","http://www.ag-rupem.com","Mª ANGELES VELASCO","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","ARTES GRAFICAS E IMPRESIÓN",40.53651893,-3.64164576
"AGY AGENCY","AV DOCTOR SEVERO OCHOA (DEL) 33 NAVE 3K",28100,"PARQUE EMP. CASABLANCA",619271786/910510855,NO DISPONIBLE,"info@agyagency.com","http://www.agyagency.com","CARLOS CASTAÑO","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","AGENCIA DE COMUNICACIÓN Y EVENTOS",40.54143544,-3.65249238
"AIFILE APLICACIONES INFORMATICAS","CL RAMON Y CAJAL (DE) 5 -OFICINA 14",28100,"CENTRO DE EMPRESAS",661010947/915278328,NO DISPONIBLE,"info@aifile.es","http://www.aifile.es","DAVID ALCAZAR SASTRE","","INFORMATICA","DESARROLLO DE APLICACIONES INFORMATICAS",40.54272865,-3.65266376
"AIRFON COMUNICACIONES","AV INDUSTRIA (DE LA) 6 - NAVE 16",28108,"POLIGONO INDUSTRIAL",915352427 / 607700254,+34918280240,"pnavarro@airfon.es","http://www.airfon.es","PABLO NAVARRO CASTRO","","TELEFONIA, TELEFONIA MOVIL","DISTRIBUIDOR VODAFONE",40.53525212,-3.64306522
"AISLAMIENTOS HERMANOS GONZALEZ, S.L.","AV INDUSTRIA (DE LA) 53 - NAVE 12",28108,"POLIGONO INDUSTRIAL",+34916626240,NO DISPONIBLE,"hbriones@hbriones.es","http://www.aislamientos-hgbriones.es","JOSE Mª GONZALEZ","","CLIMATIZACION: CALEFACCION - AIRE ACONDICIONADO Y CHIMENEAS","ALMACEN E INSTALACIONES  DE MATERIAL DE AISLAMIENTO",40.53361781,-3.65620683
"ALACENA NATURAL CATERING","CL JOSE ECHEGARAY (DE) 16 EDIF. A1 , PLANTA 3 NAVES 2 Y 3",28100,"PARQUE EMP. CASABLANCA",+34916639397,NO DISPONIBLE,"info@alacenacatering.com","http://www.alacenacatering.com","JESUS HERRANZ","","BARES, CAFETERIAS, RESTAURANTES, HELADERIAS Y COMIDAS PREPARADAS","CATERING",40.54209400,-3.65461052
"ALBA 3 CENTRO DE NEGOCIOS","CL ANABEL SEGURA (DE) 11 3º PLANTA",28108,"ARROYO DE LA VEGA",+34911846400,+34911846401,"alba3@alba3.es","http://www.alba3.es","BLANCA MUNARRIZ","","CENTRO DE NEGOCIOS. ESPACIOS EN ALQUILER","CENTRO DE NEGOCIOS",40.53329719,-3.62708410
"ALBEN DAS","AV INDUSTRIA (DE LA) 13 -TALLER 29",28108,"POLIGONO INDUSTRIAL",627703998/952175053,NO DISPONIBLE,"info@albendas.com","http://www.albendas.com","SANTIAGO DIAZ","","INFORMATICA","DISTRIBUCIÓN DE MATERIAL DOMÓTICO",40.53516074,-3.64723116
"ALCOBENDAS MR JEFF","CL MARQUES DE LA VALDAVIA (D 137 -LCCAL 3",28100,"CASCO URBANO",+34683309037,NO DISPONIBLE,"rm.sanz.m@gmail.com","NO DISPONIBLE","ROSA MARIA SANZ MONTAGUDO","","TINTORERIA, LAVANDERIA  Y PLANCHADO","LAVANDERIA Y TINTORERIA",40.54730341,-3.65882197
"ALCOSAN ILUMINACION","CL GRANJA (DE LA) 15",28108,"POLIGONO INDUSTRIAL",916617329 / 916610926 / 914901040 / 620323100,+34916627056,"alcosan@sealcosan.com","http://www.sealcosan.com","JUAN MANUEL ALVAREZ","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","DISTRIBUCION MATERIAL ELECTRICO",40.52911402,-3.65827511
"ALFA LAVAL IBERIA","CL FRANCISCO GERVAS (DE) 4 2º PLANTA",28108,"POLIGONO INDUSTRIAL",+34913790600,NO DISPONIBLE,"ascension.garcia@alfalaval.com","http://www.alfalaval.es","ASCENSION GARCIA","","FABRICACION, DISTRIBUCION Y ALQUILER DE SUMINISTROS A EMPRESAS","COMERCIO AL POR MAYOR DE MAQUINARIA INDUSTRIAL",40.53019709,-3.65040790
"ALISEO SPAIN","AV DOCTOR SEVERO OCHOA (DEL) 43 - LOCAL G",28100,"PARQUE EMP. CASABLANCA",914840658/916613677,+34914840659,"cuseros@aliseo-spain.es","http://www.aliseo.es","DAVID ARCOS","","SUMINISTROS PARA HOSTELERIA. SERVICIOS DE CATERING","DISEÑADORES, FABRICANTES Y PROVEEDORES DE ARTÍCULOS PARA BAÑOS EN INSTALACIONES HOTELERAS",40.54136708,-3.65367784
"ALISI","AV INDUSTRIA (DE LA) 4 - EDIFICIO 2 - 1º - C",28108,"POLIGONO INDUSTRIAL",+34914840222,+34916638438,"alcobendas@alisisa.com","http://www.alisisa.com","ANTONIO MARTIN MARTIN","","INMOBILIARIAS Y CONSTRUCTORAS","PROMOCION Y CONSTRUCCION",40.53543008,-3.64232167
"ALLIANCE DIAGNOSTICOS","CL GRANJA (DE LA) 8",28108,"POLIGONO INDUSTRIAL",+34916250126,NO DISPONIBLE,"info@alliancediagnosticos.es","NO DISPONIBLE","PABLO GUILLEN","","SERVICIOS MEDICOS","ACTIVIDADES SANITARIAS",40.52717421,-3.65901049
"ALMA DUE","CL GUZMAN EL BUENO (DE) 12",28108,"POLIGONO INDUSTRIAL",+34914157878,NO DISPONIBLE,"almadue@almadue.es","NO DISPONIBLE","JAVIER LOPEZ CATALAN","","ZAPATOS, BOLSOS Y COMPLEMENTOS. MALETAS","VENTA DE CALZADO GEOS",40.52914962,-3.65597421
"ALMACEN DE PIENSOS VALENTIN RAPOSO E HIJOS","CR BARAJAS (DE) - KM. 9",28100,"CASCO URBANO",+34916517453,NO DISPONIBLE,"piensosraposo@gmail.com","http://www.piensoraposo.es","VALENTIN RAPOSO","","VETERINARIOS. TIENDA DE ANIMALES","ALIMENTOS PARA MASCOTAS Y FARMACOS PARA ANIMALES",40.53497167,-3.62064075
"ALMAS INDUSTRIES B+SAFE","CR FUENCARRAL (DE) 24 - EDIFICIO EUROPA I, PORTAL 3,3º",28108,"POLIGONO INDUSTRIAL",900902510/637745098,NO DISPONIBLE,"cdeugarte@almas-industries.com","http://www.b-safe.es","CARIDAD DE UGARTE","","CODIGO PARA REGISTROS EN BLANCO","SOLUCIONES TECNOLOGICAS DE SEGURIDAD",40.51888227,-3.65470622
"ALMEVAN","AV VALDELAPARRA (DE) 27 EDF. I , PLANTA 3º",28100,"POLIGONO INDUSTRIAL",+34916591160,NO DISPONIBLE,"almevan@almevan.com","NO DISPONIBLE","ALBINO SANZ","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","COMERCIO AL POR MENOR DE EQUIPOS MEDICOS",40.53889230,-3.64696818
"ALPAUTO","CL GRANJA (DE LA) 13 - NAVE 4",28108,"POLIGONO INDUSTRIAL",910742771 / 676670631,NO DISPONIBLE,"info@alpauto.es","http://www.alpauto.es","PAULA PEREZ","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","REPARACION DE VEHICULOS",40.52867170,-3.65844918
"ALQUIMOBIL,S.L","CL VALGRANDE (DE) 23 - NAVE E",28108,"POLIGONO INDUSTRIAL",914900673/918081878,NO DISPONIBLE,"oscar@alquimobil.com","http://www.alquimobil.com","OSCAR HIDALGO","","SERVICIOS DE TRANSPORTES, ALQUILER DE VEHICULOS Y GRUAS,  MENSAJERIA. MUDANZAS","ALQUILER DE VEHICULOS INDUSTRIALES",40.53756945,-3.65149225
"ALTO CAPITAL INVERSIONES","CL ANABEL SEGURA (DE) 11 - EDIFIO B PLANTA BAJA OFICINA A",28100,"ARROYO DE LA VEGA",+34914901382,NO DISPONIBLE,"montsemayo@idpingenieros.com","http://www.idpingenieros.com","MONTSE MAYO PEREZ","","INMOBILIARIAS Y CONSTRUCTORAS","ACTIVIDADES INMOBILIARIAS",40.53329719,-3.62708410
"ALUMINIOS DORAVALL","CL JOSE ECHEGARAY (DE) 4 - BLOQUE A1, NAVE 16-2-6",28100,"PARQUE EMP. CASABLANCA",916621564 / 600471724,+34916621564,"contacto@aluminiosdoravall.com","http://www.aluminiosdoravall","IGNACIO DORADO VALLE","","TRATAMIENTO DEL METAL, CARPINTERIA METALICA, CERRAJERIA, PERSIANAS Y TOLDOS. SOLDADURAS","CARPINTERIA METALICA",40.54190758,-3.65466022
"ALUMINIOS ROMAR","CL VELARDE (DE) 4",28100,"CASCO URBANO",+34916620332,NO DISPONIBLE,"manuel-budia@hotmail.es","NO DISPONIBLE","MANUEL BUDIA","","TRATAMIENTO DEL METAL, CARPINTERIA METALICA, CERRAJERIA, PERSIANAS Y TOLDOS. SOLDADURAS","CARPINTERIA ALUMINIO",40.54394882,-3.64220290
"ALUPER","CL VALGRANDE (DE) 21 - NAVE E",28108,"POLIGONO INDUSTRIAL",+34916626427,+34916612455,"info@martinhnos.es","http://www.ventanasaluminiomadridmh.com","JOSE JULIO MARTIN","","TRATAMIENTO DEL METAL, CARPINTERIA METALICA, CERRAJERIA, PERSIANAS Y TOLDOS. SOLDADURAS","FABRICACION E INSTALACION DE CARPINTERIA DE ALUMINIO",40.53756513,-3.65169146
"ALVISA, ACTIVIDADES DEPORTIVAS Y CULTURALES","PS CHOPERA (DE LA) 188 -4ºA",28100,"CASCO URBANO",692690212/912685809,NO DISPONIBLE,"jose@grupoalvisa.com","http://www.grupoalvisa.com","JOSE VILLAFRANCA HOLGUIN","","GIMNASIOS, DANZA Y OTRAS INSTALACIONES DEPORTIVAS","ACTIVIDADES DEPORTIVAS Y CULTURALES",40.54527856,-3.65785759
"AMDOCS","AV VEGA (DE LA) 1 EDF. VEGANOVA , 3 , PLANTA 1º",28100,"ARROYO DE LA VEGA",+34911876318,NO DISPONIBLE,"cristina.rodriguez@amdocs.com","http://www.amdocs.com","CRISTINA RODRIGUEZ","","INFORMATICA","TELECOMUNICACIONES",40.52433701,-3.63873734
"AMMERAAL BELTECH, S.A.","AV VALDELAPARRA (DE) 27",28108,"POLIGONO INDUSTRIAL",916610870 / 916613299,+34916613141,"administracion@ammeraalbeltech.es","http://www.ammeraalbeltech.es","RICARDO LOPEZ","","FABRICACION, DISTRIBUCION Y ALQUILER DE SUMINISTROS A EMPRESAS","FABRICACIÓN Y VENTA CINTAS TRANSPORTADORAS",40.53889230,-3.64696818
"AMV HISPANIA","CL ANABEL SEGURA (DE) 11 EDIFICIO B, 2º PLANTA, OFICINA D",28100,"ARROYO DE LA VEGA",+34902125750,+34902011123,"lmora@amv.es","http://www.amv.es","CEDRIC MARC BERNARD PARNAUDEAU","","SEGUROS GENERALES, MUTUAS DE ACCIDENTES","SEGUROS EN GENERAL",40.53329719,-3.62708410
"ANC","CL AZALEA (DE LA) 1 - 1ª PLANTA OFICINA 2  EDIFICIO B (ZADE MINIPARC I)",28109,"MINI-PARC",+34915567661,+34915554741,"isabellopez@anc.es","http://www.anc.es","ISABEL LOPEZ ZABALLOS","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORÍA DE NEGOCIO PARA EL SECTOR INFORMATICO",40.51941663,-3.65116224
"ANER, SISTEMAS INFORMATICOS","AV INDUSTRIA (DE LA) 37 P. 11",28108,"POLIGONO INDUSTRIAL",916624767  / 670617498,+34916613922,"info@anerdata.com","http://www.aner.com","ARANTXA","","INFORMATICA","INFORAMTICA (SOFTWARE / HARDWARE)",40.53389907,-3.65273873
"ANERPRO ENERGIA Y PROCESO","AV INDUSTRIA (DE LA) 4",28108,"POLIGONO INDUSTRIAL",+34914904796,NO DISPONIBLE,"carlos.rodriguez@anerpro.com","http://www.anerpro.com","CARLOS RODRIGUEZ","","ESTUDIOS DE DELINEACION, ARQUITECTURA, LICENCIAS DE APERTURA, URBANISMO Y DISEÑO. INGENIERIAS, PROYECTOS","INGENIERIA E INSTALACIONES INDUSTRIALES",40.53543008,-3.64232167
"ANGEL MOTOR","CL VALGRANDE (DE) 21 NAVE 10",28108,"POLIGONO INDUSTRIAL",916270179/910 270 179,NO DISPONIBLE,"angelmotor015@hotmail.com","http://www.facebook.com/angelmotor015","ANGEL","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","MECANICA",40.53711885,-3.65192034
"ANTARTIDA LAB","AV INDUSTRIA (DE LA) 37 1º, OFICINA 24",28108,"POLIGONO INDUSTRIAL",657895912/914905966,NO DISPONIBLE,"oscarmario@antartidalab.com","http://www.antartidalab.com","OSCAR MARIO GUILLEN","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA INFORMATICA",40.53389907,-3.65273873
"ANTARTIDA SOLUCIONES","AV INDUSTRIA (DE LA) 13 - 1º,  OFIC 24",28108,"POLIGONO INDUSTRIAL",+34914905966,+34916622835,"oscarmario@asoid.com","http://www.antartidasoluciones.com","OSCAR MARIO GUILLEN","","INFORMATICA","NUEVAS TECNOLOGIAS",40.53516074,-3.64723116
"AP PHOTO INDUSTRIES","CL GRANJA (DE LA) 100 - NAVE II",28108,"POLIGONO INDUSTRIAL",+34914443020,+34914443794,"bvalencia@apphoto.es","http://www.apphoto.es","BEGOÑA VALENCIA","","DISTRIBUCION DE DIVERSOS PRODUCTOS DE CONSUMO","COMERCIO MAYOR",40.53609958,-3.65676806
"APARICIO ARQUITECTOS","CR FUENCARRAL (DE) 44 - EDIFICIO 7 LOFT 33",28108,"POLIGONO INDUSTRIAL",+34918316924,NO DISPONIBLE,"info@aparicioarquitectos.com","http://www.aparcioarquitectos.com","SANTIAGO APARICIO","","ESTUDIOS DE DELINEACION, ARQUITECTURA, LICENCIAS DE APERTURA, URBANISMO Y DISEÑO. INGENIERIAS, PROYECTOS","ARQUITECTURA, URBANISMO, DISEÑO Y CONSULTORIA",40.51888227,-3.65470622
"APPLUS ITV","AV VALDELAPARRA (DE) 46",28100,"CASCO URBANO",+34911014808,NO DISPONIBLE,"empresas@tumejoritv.com","http://www.tumejoritv.com","PABLO GIMENEZ","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","INSPECCIONES DE VEHÍCULOS",40.54001469,-3.65830730
"APPLUS ITV TECHNOLOGY","CL MALICIOSA (DE LA) 1",28109,"POLIGONO INDUSTRIAL",91/1290092,NO DISPONIBLE,"nohemi.vernet@applus.com","http://www.itv.com.es/empresas-itv/applus-itv","NOHEMI VERNET COMAS","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","INSPECCION TECNICA DE VEHICULOS",40.53940552,-3.65849714
"AQUA E-SOLUTIONS","AV BRUSELAS (DE) 5",28108,"ARROYO DE LA VEGA",+34902101400,+34913148375,"info@aquaesolutions.com","http://www.aquaesolutions.com","PEDRO LUIS RAMOS","","INFORMATICA","DESARROLLO  DE SOFTWARE EMPRESARIAL",40.53067721,-3.63274744
"ARAGONESES CPD","CL SEPULVEDA (DE) 13",28108,"POLIGONO INDUSTRIAL",+34916611102,+34916618174,"administracion@aragonesescpd.com","http://www.aragonesescpd.com","EVA MARTINEZ","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","FABRICACIÓN MATERIAL QUIRURGICO",40.52886109,-3.65321427
"ARCA","CL ESCORIAL (DEL) 88",28100,"CASCO URBANO",+34605887931,NO DISPONIBLE,"rafael@cansinos.org","http://www.cansinos.org","RAFAEL MANUEL CANSINOS GALAN","","EDITORIALES","PROMOCION DEL ESCRITOR RAFAEL CANSINOS ASSENS Y SU TIEMPO (LA EDAD DE PALTA)",40.55008834,-3.64070753
"ARGENCAR SPORT","CL GRANJA (DE LA) 86 - NAVE 19",28108,"POLIGONO INDUSTRIAL",+34916617551,+34916572038,"argencarsport@hotmail.es","http://www.argencarsport.es","IVAN AGUILAR","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","TALLER DE CHAPA Y PINTURA",40.53538748,-3.65671522
